species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,40.3,18.0,195,3250,FEMALE
Adelie,Biscoe,42.0,20.2,190,4250,NA
Chinstrap,Dream,52.0,18.1,201,3950,MALE
Adelie,Biscoe,38.8,17.6,191,3275,FEMALE
Gentoo,Biscoe,47.5,14.0,212,4875,FEMALE
Adelie,Torgersen,44.1,18.0,210,4000,MALE
Gentoo,Biscoe,47.8,15.0,215,5650,MALE
Adelie,Biscoe,38.1,17.0,181,3175,FEMALE
Gentoo,Biscoe,46.5,14.5,210,4400,FEMALE
Adelie,Torgersen,39.6,17.7,186,3500,FEMALE
Chinstrap,Dream,51.4,19.0,201,3950,MALE
Gentoo,Biscoe,50.1,15.9,225,5400,MALE
Adelie,Biscoe,39.0,17.5,186,3550,FEMALE
Adelie,Dream,40.2,17.0,193,3400,FEMALE
Gentoo,Biscoe,46.5,13.2,211,4500,FEMALE
Chinstrap,Dream,45.7,17.0,195,3650,FEMALE
Adelie,Biscoe,38.2,20.0,190,3600,MALE
Chinstrap,Dream,47.8,17.6,200,4000,FEMALE
Gentoo,Biscoe,49.3,15.7,218,5775,MALE
Adelie,Torgersen,39.6,17.8,193,3450,FEMALE
Chinstrap,Dream,50.2,19.7,197,3725,MALE
Gentoo,Biscoe,48.1,15.8,222,5175,MALE
Adelie,Biscoe,40.0,18.9,190,3700,MALE
Chinstrap,Dream,50.2,19.8,198,3800,FEMALE
Gentoo,Biscoe,49.8,15.9,215,5500,MALE
Adelie,Torgersen,38.9,17.2,191,3525,FEMALE
Chinstrap,Dream,48.7,18.1,194,4100,MALE
Gentoo,Biscoe,45.5,13.4,214,4925,FEMALE
Adelie,Biscoe,40.6,18.4,195,4025,MALE
Chinstrap,Dream,47.3,17.3,200,3925,FEMALE
Gentoo,Biscoe,49.9,15.9,220,5400,MALE
Adelie,Torgersen,37.6,19.0,190,3350,FEMALE
Chinstrap,Dream,46.8,17.8,195,3450,MALE
Gentoo,Biscoe,48.3,14.3,220,4800,FEMALE
Adelie,Biscoe,37.6,20.1,190,3700,MALE
Chinstrap,Dream,48.0,18.0,200,3825,FEMALE
Gentoo,Biscoe,49.2,15.2,220,5150,MALE
Adelie,Torgersen,39.6,17.8,188,3650,FEMALE
Chinstrap,Dream,51.0,18.7,198,3850,MALE
Gentoo,Biscoe,48.4,14.6,218,4925,MALE
Adelie,Biscoe,39.1,20.0,190,3700,MALE
Chinstrap,Dream,49.0,18.0,197,3950,FEMALE
Gentoo,Biscoe,49.8,16.0,216,5500,MALE
Adelie,Torgersen,36.4,18.1,184,3400,FEMALE
Chinstrap,Dream,46.9,17.5,196,3550,MALE
Gentoo,Biscoe,48.4,14.3,216,5000,FEMALE
Adelie,Biscoe,40.1,18.8,193,4100,MALE
Chinstrap,Dream,49.1,17.9,198,3850,FEMALE
Gentoo,Biscoe,49.2,15.9,219,5250,MALE
Adelie,Torgersen,40.4,18.9,184,3625,FEMALE
Chinstrap,Dream,51.1,18.9,200,3900,MALE
Gentoo,Biscoe,48.4,15.3,220,5000,MALE
Adelie,Biscoe,39.6,17.2,193,3750,MALE
Chinstrap,Dream,47.6,18.1,198,3725,FEMALE
Gentoo,Biscoe,50.0,15.5,218,5300,MALE
Adelie,Torgersen,39.5,17.5,188,3650,FEMALE
Chinstrap,Dream,50.4,18.2,198,3775,MALE
Gentoo,Biscoe,49.5,15.0,224,5400,MALE
Adelie,Biscoe,39.2,19.6,194,3800,MALE
Chinstrap,Dream,48.6,18.1,200,3875,FEMALE
Gentoo,Biscoe,49.3,15.7,216,5000,FEMALE
Adelie,Torgersen,39.5,17.7,188,3550,FEMALE
Chinstrap,Dream,49.0,18.2,199,3950,MALE
Gentoo,Biscoe,49.0,16.1,218,5250,MALE
Adelie,Biscoe,40.1,18.4,195,4075,MALE
Chinstrap,Dream,47.2,18.6,196,3750,FEMALE
Gentoo,Biscoe,48.7,15.5,219,5200,MALE
Adelie,Torgersen,37.8,19.0,185,3400,FEMALE
Chinstrap,Dream,48.7,17.3,200,3800,MALE
Gentoo,Biscoe,49.3,14.8,218,4925,MALE
Adelie,Biscoe,39.1,18.7,195,3950,MALE
Chinstrap,Dream,48.8,18.1,198,3875,FEMALE
Gentoo,Biscoe,49.0,15.7,220,5400,MALE
Adelie,Torgersen,37.8,19.8,189,3500,FEMALE
Chinstrap,Dream,49.5,18.2,198,3825,MALE
Gentoo,Biscoe,50.0,15.9,219,5325,MALE
Adelie,Biscoe,39.1,19.0,193,3825,MALE
Chinstrap,Dream,47.9,18.2,198,3800,FEMALE
Gentoo,Biscoe,49.2,16.1,220,5175,MALE
Adelie,Torgersen,37.4,19.0,186,3425,FEMALE
Chinstrap,Dream,48.7,17.8,200,3875,MALE
Gentoo,Biscoe,49.5,14.9,219,4950,MALE
Adelie,Biscoe,39.6,18.8,193,3900,MALE
Chinstrap,Dream,48.8,18.0,199,3925,FEMALE
Gentoo,Biscoe,49.0,15.8,218,5275,MALE
Adelie,Torgersen,37.7,19.1,185,3475,FEMALE
Chinstrap,Dream,48.4,18.1,200,3800,MALE
Gentoo,Biscoe,49.3,15.0,218,5050,MALE
Adelie,Biscoe,39.2,18.5,194,3975,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5425,MALE
Adelie,Torgersen,37.8,19.2,185,3475,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,4975,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
Adelie,Biscoe,39.3,18.6,194,3925,MALE
Chinstrap,Dream,48.7,18.0,200,3800,FEMALE
Gentoo,Biscoe,49.2,15.9,217,5375,MALE
Adelie,Torgersen,37.7,19.3,186,3450,FEMALE
Chinstrap,Dream,48.4,18.1,200,3825,MALE
Gentoo,Biscoe,49.5,14.9,217,5100,MALE
Adelie,Biscoe,39.4,18.7,194,3950,MALE
Chinstrap,Dream,47.6,18.0,199,3800,FEMALE
Gentoo,Biscoe,49.1,15.7,217,5475,MALE
Adelie,Torgersen,37.8,19.2,185,3450,FEMALE
Chinstrap,Dream,48.8,17.9,199,3875,MALE
Gentoo,Biscoe,49.5,15.1,217,5050,MALE
